GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Portfolio Chatbot Backend,com.portfolio.chatbot,PortfolioAssistantController.Window,0,9,0,0,0,1,0,1,0,1
Portfolio Chatbot Backend,com.portfolio.chatbot,RagService.ChatAnswer,0,9,0,0,0,1,0,1,0,1
Portfolio Chatbot Backend,com.portfolio.chatbot,StreamLambdaHandler,67,0,6,0,20,0,7,0,4,0
Portfolio Chatbot Backend,com.portfolio.chatbot,WebConfig,41,0,0,0,11,0,2,0,2,0
Portfolio Chatbot Backend,com.portfolio.chatbot,RagService.Retrieved,9,0,0,0,1,0,1,0,1,0
Portfolio Chatbot Backend,com.portfolio.chatbot,ChatbotConfig,24,0,0,0,8,0,4,0,4,0
Portfolio Chatbot Backend,com.portfolio.chatbot,RagService,421,21,42,0,84,7,36,2,15,2
Portfolio Chatbot Backend,com.portfolio.chatbot,PortfolioAssistantController.ChatRequest,0,9,0,0,0,1,0,1,0,1
Portfolio Chatbot Backend,com.portfolio.chatbot,PortfolioAssistantController,24,359,11,33,3,75,10,23,0,11
Portfolio Chatbot Backend,com.portfolio.chatbot,KnowledgeIngestionService,563,0,44,0,101,0,33,0,11,0
Portfolio Chatbot Backend,com.portfolio.chatbot,Citation,0,15,0,0,0,1,0,1,0,1
Portfolio Chatbot Backend,com.portfolio.chatbot,PortfolioChatbotApplication,5,3,0,0,2,1,1,1,1,1
Portfolio Chatbot Backend,com.portfolio.chatbot,RagService.new LinkedHashMap() {...},0,45,0,0,0,8,0,1,0,1
